"station","stationid","latcoord","loncoord"
"Grosvenor Crescent, Belgravia",207,51.501352,-0.153194
"Mallory Street, Marylebone",208,51.525051,-0.166304
"Denyer Street, Knightsbridge",209,51.493583,-0.165101
"Hinde Street, Marylebone",210,51.516814,-0.151926
"Cadogan Place, Knightsbridge",211,51.494645,-0.158105
"Campden Hill Road, Notting Hill",212,51.506584,-0.199004
"Wellington Arch, Hyde Park",213,51.50274,-0.149569
"Endsleigh Gardens, Euston",214,51.526838,-0.130504
"Moorfields, Moorgate",215,51.519069,-0.088285
"Old Brompton Road, South Kensington",216,51.490945,-0.18119
"Wormwood Street, Liverpool Street",217,51.516154,-0.082422
"St. Luke's Church, Chelsea",218,51.489716,-0.170194
"Bramham Gardens, Earl's Court",219,51.490163,-0.190393
"Horseferry Road, Westminster",221,51.494816,-0.130458
"Knightsbridge, Hyde Park",222,51.502757,-0.155349
"Rodney Road , Walworth",223,51.491484,-0.09022
"Queensway, Kensington Gardens",224,51.51031,-0.187402
"Notting Hill Gate Station, Notting Hill",225,51.509353,-0.196422
"Charles II Street, West End",226,51.508446,-0.131961
"Great Percy Street, Clerkenwell",227,51.528915,-0.11548
"St. James's Square, St. James's",228,51.507424,-0.134621
"Whitehall Place, Strand",229,51.506543,-0.123179
"Poured Lines, Bankside",230,51.506692,-0.103137
"Queen's Gate (Central), South Kensington",231,51.493967,-0.178732
"Carey Street, Holborn",232,51.51501,-0.112753
"Pall Mall East, West End",233,51.50777,-0.130699
"Liverpool Road (N1 Centre), Angel",234,51.534504,-0.106992
"Kennington Road  , Vauxhall",235,51.495718,-0.110889
"Fashion Street, Whitechapel",236,51.51838,-0.073438
"Dock Street, Wapping",237,51.509786,-0.068161
"Frampton Street, Paddington",238,51.523353,-0.175116
"Warren Street Station, Euston",239,51.524438,-0.138019
"Beaumont Street, Marylebone",242,51.522008,-0.151359
"Gloucester Street, Pimlico",243,51.490962,-0.139625
"Earnshaw Street , Covent Garden",244,51.516118,-0.128585
"Grosvenor Road, Pimlico",245,51.485357,-0.142207
"Berry Street, Clerkenwell",246,51.522853,-0.099994
"St. John's Wood Church, The Regent's Park",247,51.530529,-0.167515
"Triangle Car Park, Hyde Park",248,51.506451,-0.170279
"Harper Road, The Borough",249,51.498597,-0.096191
"Royal Avenue 1, Chelsea",250,51.489932,-0.162727
"Brushfield Street, Liverpool Street",251,51.518908,-0.079249
"Jubilee Gardens, South Bank",252,51.504636,-0.116542
"Shoreditch Park, Hoxton",253,51.534042,-0.086379
"Ford Road, Old Ford",517,51.532513,-0.033085
"Antill Road, Mile End",518,51.528224,-0.037471
"Teviot Street, Poplar",519,51.518811,-0.011662
"Bancroft Road, Bethnal Green",520,51.526041,-0.047218
"Driffield Road, Old Ford",521,51.534137,-0.037366
"Clinton Road, Mile End",522,51.525941,-0.036017
"Langdon Park, Poplar",523,51.51549,-0.013475
"Lancaster Gate , Bayswater",524,51.511654,-0.179668
"Blythe Road, Olympia",525,51.496927,-0.2135
"Lancaster Drive, Blackwall",526,51.503143,-0.008428
"Hansard Mews, Holland Park",527,51.503802,-0.215808
"Clarges Street, Mayfair",528,51.507326,-0.145827
"Manresa Road, Chelsea",529,51.486892,-0.170983
"Newby Place, Poplar",530,51.508896,-0.012413
"Twig Folly Bridge, Mile End",531,51.530326,-0.042744
"Jubilee Plaza, Canary Wharf",532,51.50357,-0.020068
"Wellington Row, Bethnal Green",533,51.528222,-0.069743
"Goldsmith's Row, Haggerston",534,51.531864,-0.066035
"Gloucester Avenue, Camden Town",535,51.537349,-0.147154
"Queensbridge Road, Haggerston",536,51.53385,-0.06992
"Old Montague Street, Whitechapel",537,51.51793,-0.067937
"Naval Row, Blackwall",538,51.508981,-0.00699
"Hoxton Station, Hoxton",539,51.531091,-0.075901
"Albany Street, The Regent's Park",540,51.528302,-0.144466
"Green Park Station, Mayfair",541,51.506613,-0.142844
"Salmon Lane, Limehouse",542,51.514115,-0.033828
"Lansdowne Walk, Ladbroke Grove",543,51.509591,-0.204666
"Percival Street, Finsbury",544,51.526153,-0.102208
"Arlington Road, Camden Town",545,51.539957,-0.145246
"New Fetter Lane, Holborn",546,51.517428,-0.107987
"East India DLR, Blackwall",547,51.509474,-0.002275
"Westminster Bridge Road, Elephant & Castle",548,51.498386,-0.107913
"Gaywood  Street, Elephant & Castle",549,51.49605,-0.104193
"Harford Street, Mile End",550,51.521564,-0.039264
"Import Dock, Canary Wharf",551,51.505772,-0.01646
"Watney Street, Shadwell",552,51.511542,-0.056667
"Regent's Row , Haggerston",553,51.535678,-0.062546
"Aberfeldy Street, Poplar",554,51.513548,-0.005659
"Heron Quays DLR, Canary Wharf",556,51.502661,-0.021596
"King Edward Street, St Pauls",557,51.51601,-0.0985
"Page Street, Westminster",558,51.493978,-0.127554
"Abbotsbury Road, Holland Park",559,51.501391,-0.205991
"Ladbroke Grove Central, Ladbroke Grove",560,51.511624,-0.205921
"Rectory Square, Stepney",561,51.518369,-0.043371
"Bury Place, Holborn",562,51.51746,-0.12335
"Preston's Road, Cubitt Town",563,51.499286,-0.009152
"Somerset House, Strand",564,51.509943,-0.117619
"Selby Street, Whitechapel",565,51.521905,-0.063386
"Westfield Ariel Way, White City",566,51.509158,-0.224103
"Bishop's Bridge Road West, Bayswater",568,51.51616,-0.18697
"Pitfield Street Central, Hoxton",569,51.53213,-0.08299
"Upper Bank Street, Canary Wharf",570,51.503083,-0.017676
"Westfield Southern Terrace ,Shepherd's Bush",571,51.506256,-0.218337
"Greenland Road, Camden Town",572,51.539099,-0.141728
"Limerston Street, West Chelsea",573,51.485587,-0.18119
"Eagle Wharf Road, Hoxton",574,51.53356,-0.09315
"Alpha Grove, Millwall",576,51.497304,-0.022793
"Globe Town Market, Bethnal Green",577,51.528869,-0.047548
"Hollybush Gardens, Bethnal Green",578,51.527607,-0.057133
"Queen Street 2, Bank",579,51.511246,-0.093051
"Doddington Grove, Kennington",580,51.486929,-0.102996
"New Cavendish Street, Marylebone",581,51.519167,-0.147983
"Abingdon Green, Westminster",583,51.49764,-0.125972
"Ilchester Gardens, Bayswater",584,51.51244,-0.19096
"Mudchute DLR, Cubitt Town",586,51.490645,-0.014582
"Monument Street, Monument",587,51.50964,-0.08497
"Hoxton Street, Hoxton",588,51.52959,-0.0801
"Drayton Gardens, West Chelsea",589,51.487196,-0.179369
"Greenberry Street, St.John's Wood",590,51.53256,-0.16862
"Bishop's Bridge Road East, Bayswater",592,51.5171,-0.18377
"Northdown Street, King's Cross",593,51.531066,-0.11934
"Kingsway Southbound, Strand",594,51.513875,-0.117774
"Hammersmith Road, Hammersmith",595,51.493267,-0.21985
"Parson's Green , Parson's Green",596,51.472817,-0.199783
"Fulham Park Road, Fulham",597,51.473471,-0.20782
"Southerton Road, Hammersmith",598,51.494499,-0.228188
"Manbre Road, Hammersmith",599,51.485743,-0.223616
"South Lambeth Road, Vauxhall",600,51.481747,-0.124642
"BBC White City, White City",601,51.514767,-0.225787
"Union Grove, Wandsworth Road",602,51.472993,-0.133972
"Caldwell Street, Stockwell",603,51.477839,-0.116493
"St Martins Close, Camden Town",604,51.538792,-0.138535
"Seymour Place, Marylebone",605,51.520331,-0.163667
"Addison Road, Holland Park",606,51.504199,-0.210941
"Putney Bridge Station, Fulham",607,51.468814,-0.210279
"Colet Gardens, Hammersmith",608,51.491093,-0.216493
"Chadwell Street, Angel",254,51.530515,-0.106408
"Clifton Road, Maida Vale",255,51.525575,-0.179592
"Houghton Street, Strand",256,51.51362,-0.116764
"Westminster University, Marylebone",257,51.522481,-0.154907
"Kensington Gore, Knightsbridge",258,51.501432,-0.178656
"Bourne Street, Belgravia",259,51.490959,-0.153233
"Broadwick Street, Soho",260,51.513684,-0.13558
"Princes Square, Bayswater",261,51.513489,-0.191351
"LSBU (Borough Road), Elephant & Castle",262,51.498744,-0.103132
"St. Mary Axe, Aldgate",263,51.514225,-0.08066
"Tysoe Street, Clerkenwell",264,51.526443,-0.109256
"Southwick Street, Paddington",265,51.515953,-0.169249
"Queen's Gate (North), Kensington",266,51.501026,-0.180246
"Regency Street, Westminster",267,51.49206,-0.132224
"Belgrave Road, Victoria",268,51.493204,-0.144132
"Empire Square, The Borough",269,51.500823,-0.08974
"Kennington Lane Rail Bridge, Vauxhall",270,51.486343,-0.122492
"London Zoo,  The Regent's Park",271,51.535836,-0.156285
"Baylis Road, Waterloo",272,51.501444,-0.110699
"Belvedere Road 1, South Bank",273,51.506133,-0.114686
"Warwick Road, Olympia",274,51.496712,-0.205284
"Barbican Centre, Barbican",275,51.520044,-0.092176
"Lower Thames Street, Monument",276,51.509301,-0.084985
"Kensington Church Street, Kensington",277,51.503157,-0.191496
"Tooley Street, Bermondsey",278,51.503493,-0.07962
"North Wharf Road, Paddington",279,51.518622,-0.176645
"Royal Avenue 2, Chelsea",280,51.490083,-0.162418
"Smith Square, Westminster",281,51.495805,-0.127575
"Royal London Hospital, Whitechapel",282,51.518675,-0.06111
"Kingsway, Covent Garden",283,51.514409,-0.118478
"Lambeth North Station, Waterloo",284,51.49914,-0.112031
"St. John's Wood Road, St. John's Wood",286,51.527294,-0.174653
"Bedford Way, Bloomsbury",287,51.523673,-0.128377
"Elizabeth Bridge, Victoria",288,51.492369,-0.147478
"St Mary's Hospital, Paddington",290,51.518268,-0.171103
"Claverton Street, Pimlico",291,51.484839,-0.138089
"Montpelier Street, Knightsbridge",292,51.498884,-0.165471
"Kensington Olympia Station, Olympia",293,51.498157,-0.209494
"St. George's Square, Pimlico",294,51.488226,-0.135635
"Swan Street, The Borough",295,51.500296,-0.092762
"Knaresborough Place, Earl's Court",296,51.493631,-0.190603
"Geraldine Street, Elephant & Castle",297,51.496127,-0.106
"Curlew Street, Shad Thames",298,51.502279,-0.074189
"Vincent Square, Westminster",299,51.493985,-0.136928
"Serpentine Car Park, Hyde Park",300,51.505014,-0.17306
"Marylebone Lane, Marylebone",301,51.514759,-0.148105
"Putney Pier, Wandsworth",302,51.466907,-0.216573
"Albert Gate, Hyde Park",303,51.502953,-0.158456
"Rathbone Street, Fitzrovia",306,51.518162,-0.135025
"Black Lion Gate, Kensington Gardens",307,51.509908,-0.187842
"Long Lane , Bermondsey",308,51.499075,-0.085666
"Embankment (Savoy), Strand",309,51.509631,-0.119047
"Foley Street, Fitzrovia",311,51.519181,-0.140485
"Grove End Road, St. John's Wood",312,51.530889,-0.17677
"Wells Street, Fitzrovia",313,51.517344,-0.138072
"Tyers Gate, Bermondsey",314,51.500889,-0.083159
"The Tennis Courts, The Regent's Park",315,51.525367,-0.153463
"Warwick Row, Westminster",316,51.497998,-0.14296
"Dickens Square, Borough",317,51.496791,-0.093913
"Sackville Street, Mayfair",318,51.510048,-0.138846
"Baldwin Street, St. Luke's",319,51.527025,-0.088542
"Queen Mother Sports Centre, Victoria",320,51.493573,-0.139956
"Bermondsey Street, Bermondsey",321,51.497855,-0.081608
"Palissy Street, Shoreditch",322,51.526293,-0.073955
"Clifton Street, Shoreditch",323,51.523196,-0.083067
"Ontario Street, Elephant & Castle",324,51.49652,-0.101384
"St. Martin's Street, West End",325,51.509087,-0.129697
"Graham Street, Angel",326,51.532661,-0.099981
"New North Road 1, Hoxton",327,51.53095,-0.085603
"New North Road 2, Hoxton",328,51.53114,-0.086016
"Prince Albert Road, The Regent's Park",329,51.535892,-0.160854
"Eastbourne Mews, Paddington",330,51.516417,-0.179135
"Bunhill Row, Moorgate",331,51.520858,-0.089887
"Nevern Place, Earl's Court",332,51.493343,-0.194757
"Palace Gardens Terrace, Notting Hill",333,51.508605,-0.193764
"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851
"Tavistock Street, Covent Garden",335,51.511968,-0.120718
"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533
"Sugden Road, Clapham",609,51.465123,-0.157788
"Danvers Street, West Chelsea",610,51.482567,-0.172078
"Princedale Road , Holland Park",611,51.506465,-0.208486
"Wandsworth Rd, Isley Court, Wandsworth Road",612,51.469259,-0.141812
"Woodstock Grove, Shepherd's Bush",613,51.504038,-0.2174
"London Fields, Hackney Central",614,51.54119,-0.058826
"Finlay Street, Fulham",615,51.476885,-0.215895
"Aintree Street, Fulham",616,51.481021,-0.209973
"Elysium Place, Fulham",617,51.471079,-0.207842
"Eel Brook Common, Walham Green",618,51.476259,-0.193254
"Irene Road, Parsons Green",619,51.473763,-0.19701
"Surrey Lane, Battersea",620,51.47518,-0.16716
"Wandsworth Town Station, Wandsworth",621,51.460864,-0.187427
"Lansdowne Road, Ladbroke Grove",622,51.507481,-0.205535
"Nantes Close, Wandsworth",623,51.46193,-0.180791
"Courland Grove, Wandsworth Road",624,51.472918,-0.132102
"Queen's Circus, Battersea Park",625,51.477619,-0.149551
"Normand Park, West Kensington",626,51.484386,-0.204815
"Holden Street, Battersea",627,51.46879,-0.15823
"William Morris Way, Sands End",628,51.468819,-0.184318
"Morie Street, Wandsworth",629,51.459953,-0.190184
"Clarence Walk, Stockwell",630,51.470732,-0.126994
"Battersea Park Road, Nine Elms",631,51.479501,-0.14177
"Sheepcote Lane, Battersea",632,51.470538,-0.163041
"Vereker Road, West Kensington",633,51.489591,-0.209378
"Brook Green South, Brook Green",634,51.494347,-0.215804
"Greyhound Road, Hammersmith",635,51.486062,-0.214428
"South Park, Sands End",636,51.467064,-0.193502
"Spencer Park, Wandsworth Common",637,51.45787,-0.174691
"Falcon Road, Clapham Junction",638,51.466633,-0.169821
"Coomer Place, West Kensington",639,51.48357,-0.202038
"Silverthorne Road, Battersea",640,51.472865,-0.148059
"Archbishop's Park, Waterloo",641,51.498241,-0.117495
"Fawcett Close, Battersea",642,51.469161,-0.174485
"All Saints' Road, Portobello",643,51.519042,-0.204764
"Rainville Road, Hammersmith",644,51.483732,-0.223852
"Great Suffolk Street, The Borough",645,51.501732,-0.100292
"Buckingham Gate, Westminster",646,51.498865,-0.137424
"Richmond Way, Shepherd's Bush",647,51.500353,-0.217515
"Peterborough Road, Sands End",648,51.46904,-0.196274
"World's End Place, West Chelsea",649,51.481805,-0.180274
"St. Mark's Road, North Kensington",650,51.51687,-0.213872
"Thorndike Close, West Chelsea",651,51.480898,-0.183853
"Evesham Street, Avondale",652,51.511486,-0.21819
"Simpson Street, Clapham Junction",653,51.470847,-0.170703
"Ashmole Estate, Oval",654,51.482678,-0.117661
"Crabtree Lane, Fulham",655,51.482944,-0.219346
"Broomhouse Lane, Parsons Green",656,51.468418,-0.199135
"Blythe Road West, Shepherd's Bush",657,51.49968,-0.221791
"Ethelburga Estate, Battersea Park",658,51.477292,-0.164786
"Blackfriars Station, St. Paul's",659,51.511934,-0.103078
"West Kensington Station, West Kensington",660,51.49087,-0.206029
"All Saints Church, Portobello",661,51.51632,-0.202608
"Phene Street, Chelsea",662,51.484984,-0.167919
"Clarendon Road, Avondale",663,51.51323,-0.211593
"Austin Road, Battersea Park",664,51.474376,-0.155442
"Smugglers Way, Wandsworth",665,51.461083,-0.191722
"Shepherd's Bush Road North, Shepherd's Bush",667,51.501594,-0.222293
"Ravenscourt Park Station, Hammersmith",668,51.494223,-0.236769
"Teversham Lane, Stockwell",669,51.476149,-0.123258
"Ashley Crescent, Battersea",670,51.467185,-0.152248
"Parsons Green Station, Parsons Green",671,51.475089,-0.201968
"Hibbert Street, Battersea",673,51.46517,-0.180389
"Carnegie Street, King's Cross",674,51.535467,-0.116191
"Usk Road, Clapham Junction",675,51.463489,-0.182126
"Hartington Road, Stockwell",676,51.47787,-0.126874
"Heath Road, Battersea",677,51.468669,-0.146544
"Esmond Street, Putney",678,51.462312,-0.211468
"Orbel Street, Battersea",679,51.474535,-0.17021
"Westbridge Road, Battersea",680,51.477684,-0.170329
"Bishop's Avenue, Fulham",681,51.473036,-0.214749
"Crisp Road, Hammersmith",682,51.488108,-0.226606
"Dorothy Road, Clapham Junction",683,51.465064,-0.16375
"Neville Gill Close, Wandsworth",684,51.454752,-0.195197
"Osiers Road, Wandsworth",685,51.46067,-0.198735
"Beryl Road, Hammersmith",686,51.488144,-0.222456
"Clements Road, Bermondsey",687,51.4954,-0.061698
"Northfields, Wandsworth",688,51.460951,-0.200667
"Spanish Road, Clapham Junction",689,51.459225,-0.180884
"Stanley Grove, Battersea",690,51.470475,-0.15213
"Eccleston Place, Victoria",167,51.49395,-0.147624
"Harris Academy, Bermondsey",666,51.492668,-0.07235
"South Audley Street, Mayfair",289,51.50923,-0.151296
"Bourne Street, Belgravia",137,51.490856,-0.153256
"Great Marlborough St, Soho",159,51.514667,-0.137694
"Chelsea Green, Chelsea",220,51.490714,-0.166221
"Colombo Street, Southwark",240,51.505342,-0.105596
"Cumberland Gate, Hyde Park",304,51.512151,-0.162146
"Kennington Lane Tesco, Vauxhall",305,51.486824,-0.115659
"Black Prince Road, Vauxhall",310,51.490994,-0.117122
"Central House, Whitechapel",33,51.515231,-0.070133
"Lord's, St. John's Wood",363,51.5289,-0.171592
"Speakers' Corner 1, Hyde Park",407,51.512301,-0.159925
"Speakers' Corner 2, Hyde Park",406,51.512232,-0.160529
"Harrington Square 2, Camden Town",425,51.533403,-0.139258
"Christian Street, Whitechapel",489,51.51295,-0.06415
"Westfield Eastern Access Road, Shepherd's Bush",555,51.509159,-0.219645
"Rodney Street, Angel",59,51.531825,-0.114333
"Westfield Library Corner, Shepherd's Bush",591,51.506093,-0.224303
"Grant Road Central, Clapham Junction",672,51.464655,-0.173719
"Grant Road West, Clapham Junction",1000,51.464416,-0.174521
"Michael Road, Walham Green",731,51.477292,-0.189155
"Hammersmith Town Hall, Hammersmith",753,51.492736,-0.234055
"Rossmore Road, Marylebone",760,51.525194,-0.164032
"Arundel Street",1002,51.51165,-0.113885
"Wansey Street, Walworth",79,51.491056,-0.097291
"Thornfield House, Poplar",567,51.509913,-0.023606
"Thessaly Road North, Nine Elms",1001,51.477273,-0.138781
"Exhibition Road Museums 1, South Kensington",432,51.496471,-0.173757
"Exhibition Road Museums 2, South Kensington",482,51.495948,-0.173693
